datetime_day,ADFS\BASIN_LEVEL\PROCESS_VALUE,ADFS\EFFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_FLOW\PROCESS_VALUE,ADFS\WASTE_FLOW\PROCESS_VALUE,ADFS\WASTE_VACUUM\PROCESS_VALUE,ADFS\CURRENT_MODE,SEPARATOR\WASTE_FLOW\PROCESS_VALUE,SEPARATOR\TANK_LEVEL\PROCESS_VALUE,SEPARATOR\CURRENT_MODE,ADFS\INFLUENT_VALVE\POSITION_FB\PROCESS_VALUE,SEPARATOR\SR_CURRENT_MODE,SEPARATOR\INFLUENT_FLOW\PROCESS_VALUE,SEPARATOR\INFLUENT_TANK_LEVEL\PROCESS_VALUE,ADFS\WASTE_PUMP_1\SPEED_OUT,ADFS\SCUM_REMOVAL_MODE,ADFS\BASIN_PH\PROCESS_VALUE,ADFS\INFLUENT_FLOW\TOTAL_FOREVER,ADFS\WASTE_TSS\PROCESS_VALUE,SEPARATOR\INFLUENT_FLOW\TOTAL_FOREVER,SEPARATOR\WASTE_FLOW\TOTAL_FOREVER,ADFS\INFLUENT_FLOW\PID\OUTPUT,ADFS\INFLUENT_TSS\PROCESS_VALUE,ADFS\INFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\EFFLUENT_TURBIDITY\PROCESS_VALUE,ADFS\INHIBIT_WASTE_FLOW
2019-09-22,9.448375734305904,51.76727676,353.49708528648443,26.533762606574584,2.7423068637406223,2.18621692352428,0,0,0,24.700980764995055,0,0,0,6.487699912765339,1.0093631869729573,5.797545008731608,138.104843080927,150,0,0,21.545845005376563,-0.29785544,145.91762494938004,49.69347315191393,0
2019-09-23,9.432131546240186,51.76727676,344.0760697685676,27.759516991329455,3.028525277817389,2.2025588833963363,0,0,0,23.7478237121105,0,0,0,6.915615004361733,1.0038383250945042,6.102335655955219,138.2422120159936,150,0,0,20.773806648975864,-0.29785544,141.11336618324106,47.078221095437044,0
2019-09-24,9.439290308300087,51.76727676,340.5745204766182,26.32638972298168,3.0633623271840653,2.1900552486187843,0,0,0,23.78113838942716,0,0,0,6.615236987496365,1.0144227973248037,6.083963565657458,138.28304042482873,150,0,0,20.74043067750509,-0.29785544,145.8482114361262,46.77307415835592,0
2019-09-25,9.51061307469586,51.76727676,351.2672264648593,35.377050307966385,3.409179282642475,2.2508722958827634,0,0,0,24.353090276171784,0,0,0,8.52215631542219,1.007210979297511,6.243014149170738,138.37926689435974,150,0,0,21.2815541640585,-0.29785544,152.1695664785491,45.40129541570133,0
2019-09-26,9.475183616107008,51.76727676,352.92572654744345,30.68879309125676,2.8347550070514687,2.2167490549578366,0,0,0,24.238507211055538,0,0,0,7.14655423088107,1.0051177667926723,6.31561395023786,138.43876809302412,150,0,0,21.34072142092236,-0.29785544,142.9327250044507,42.75133357226752,0
2019-09-27,9.5232741335212,51.76727676,351.7180064393358,40.01873246768394,3.834203584044088,2.275809922642936,0,0,0,24.044703938926308,0,0,0,9.265049729541092,1.0096550921886815,6.375461653532833,138.5122540682993,150,0,0,20.965020935731985,-0.29785544,151.62981029754667,45.86147795998546,0
2019-09-28,9.489624976334982,51.76727676,339.41602582570863,36.95016994746554,3.362667045134632,2.2574585635359115,0,0,0,23.70644175904798,0,0,0,8.588659494038964,1.0088397790055248,6.124011981128235,138.5640196449305,150,0,0,20.49861034584763,-0.29785544,154.66364996960397,49.72987980600349,0
2019-09-29,9.391246029055429,51.76727676,354.617620691539,25.484478604477403,2.701268928438318,2.1898447042400977,0,0,0,24.735317490503693,0,0,0,6.51835049147909,1.0209387541441284,5.9510935797435005,138.61961184164426,150,0,0,21.579462888746583,-0.29785544,143.60521476212935,51.32200601781539,0
2019-09-30,9.484737271431811,51.76727676,341.9031786874865,34.00192080264437,3.4052561825931957,2.239779005524862,0,0,0,23.459246798312883,0,0,0,8.12887467287002,1.0082000581564408,5.82287127110032,138.75868474126025,150,0,0,20.4353187320599,-0.29785544,159.8317144591387,50.15667716242454,0
2019-10-01,9.475100541826087,51.76727676,340.35428450526814,27.058632397201052,4.105902426302305,2.2497811496936095,0,0,0,23.525915956929676,0,0,0,8.804785526699737,1.0042019258826962,5.732161788463963,138.84203833348994,150,0,0,20.42292998205311,-0.29785544,145.34809116737028,48.29853377754421,0
2019-10-02,9.592598920708305,51.76727676,346.38155735369793,33.34027579296697,5.865431719922657,2.3723540358222843,0,0,0,24.040179999861596,0,0,0,12.572807629681321,1.007850662944871,5.652986307548849,138.95333407703362,150,0,0,20.84163792046697,-0.29785544,158.1725207894836,50.11726577140498,0
2019-10-03,9.829720506349448,51.76727676,416.45597118805927,51.752438730167185,7.361002695455077,2.513357105278541,0,0,0,30.66816857680891,0,0,0,17.574326299175777,1.0088267960484012,5.695147289241831,139.20343453471736,150,0,0,26.729117135691823,-0.29785544,160.59737168017304,45.61345865034606,0
2019-10-04,9.665498464709302,51.76727676,497.9398698452285,44.277144077565694,5.262338358424419,2.3863372093023254,0,0,0,32.199932366786626,0,0,0,12.62453488372093,1.0122674418604651,5.9137276386139535,139.97772479366222,150,0,0,28.119820260088954,-0.29785544,140.55680207454185,44.21574810945291,0
2019-10-05,9.502876021396593,51.76727676,479.6508269568388,35.186446050100585,3.2408419685237515,2.249142391999535,0,0,0,31.41992077349032,0,0,0,8.120820977963835,1.0069190069190068,5.653999176732368,140.84298284470782,150,0,0,27.369981247609743,-0.29785544,136.2011619185313,49.25899197692017,0
